plot_name,accession_name,DM_raw,DM_gravity,DM_nirs
202109DVGN6_momi_rep1_COL986_16,COL986,28.46,26.8,29.8
202109DVGN6_momi_rep1_CR22_56,CR22,36.46,35.5,36.1
202109DVGN6_momi_rep1_CR28_63,CR28,NA,18.2,NA
202109DVGN6_momi_rep1_CR77_47,CR77,37.66,35.9,35.5
202109DVGN6_momi_rep1_CUB29_129,CUB29,38.62,35.1,36.9
202109DVGN6_momi_rep1_CUB39_112,CUB39,36.32,31.3,34.5
202109DVGN6_momi_rep1_CUB56_65,CUB56,40.55,36.3,40
202109DVGN6_momi_rep1_CUB65_84,CUB65,39.15,34.9,39.3
202109DVGN6_momi_rep1_DOM3_49,DOM3,41.26,39,41.5
202109DVGN6_momi_rep1_ECU104_9,ECU104,23.22,23.2,25.7
202109DVGN6_momi_rep1_ECU31_96,ECU31,38.47,31.9,39.3
202109DVGN6_momi_rep1_ECU3_34,ECU3,41.47,37.4,40.9
202109DVGN6_momi_rep1_ECU43_24,ECU43,33.07,29.2,32.7
202109DVGN6_momi_rep1_ECU71_45,ECU71,39.52,36,39.1
202109DVGN6_momi_rep1_ECU72_1,ECU72,34.6,31.5,35
202109DVGN6_momi_rep1_GUA1_4,GUA1,39.1,36.9,38.7
202109DVGN6_momi_rep1_GUA32_3,GUA32,28.47,25.5,30
202109DVGN6_momi_rep1_MEX1_64,MEX1,34.79,33.5,35.7
202109DVGN6_momi_rep1_MEX23_55,MEX23,33.02,31.5,32.6
202109DVGN6_momi_rep1_MEX59_5,MEX59,39.21,33.4,40.2
202109DVGN6_momi_rep1_MEX65_99,MEX65,37.31,35.9,35.9
202109DVGN6_momi_rep1_MEX80_91,MEX80,37.47,35.6,35.4
202109DVGN6_momi_rep1_PAN7_44,PAN7,36.19,34.6,37.1
202109DVGN6_momi_rep1_PAR100_130,PAR100,36.32,31.5,33.4
202109DVGN6_momi_rep1_PAR101_10,PAR101,34.44,31.6,33.4
202109DVGN6_momi_rep1_PAR114_27,PAR114,33.73,33.2,33.5
202109DVGN6_momi_rep1_PAR128_80,PAR128,26.83,27.4,27.3
202109DVGN6_momi_rep1_PAR23_61,PAR23,36.88,35.1,35.8
202109DVGN6_momi_rep1_PAR36_81,PAR36,36.2,31.9,37.5
202109DVGN6_momi_rep1_PAR41_70,PAR41,40.15,34.3,40.5
202109DVGN6_momi_rep1_PAR81_95,PAR81,34.81,31.6,34.8
202109DVGN6_momi_rep1_PER226_76,PER226,37.01,30.6,37
202109DVGN6_momi_rep1_PER234_134,PER234,34.08,28.3,35.8
202109DVGN6_momi_rep1_PER297_36,PER297,34.26,26.4,32.8
202109DVGN6_momi_rep1_PER328_87,PER328,36,27.1,34.1
202109DVGN6_momi_rep1_PER349_15,PER349,40.54,35.2,41.4
202109DVGN6_momi_rep1_PER415_128,PER415,38.36,32.8,39
202109DVGN6_momi_rep1_PER484_48,PER484,25.07,22.5,27.6
202109DVGN6_momi_rep1_PER503_123,PER503,31.37,25.7,31.8
202109DVGN6_momi_rep1_PER534_93,PER534,40.41,36.2,39
202109DVGN6_momi_rep1_PER556_106,PER556,32.54,29.2,34.1
202109DVGN6_momi_rep1_PER584_104,PER584,37.97,30.4,36.8
202109DVGN6_momi_rep1_PER589_66,PER589,28.43,26.5,31.4
202109DVGN6_momi_rep1_PER593_17,PER593,39.98,33.5,40.6
202109DVGN6_momi_rep1_PTR1_101,PTR1,29.95,25.6,31.8
202109DVGN6_momi_rep1_PTR5_57,PTR5,22.47,22.8,22
202109DVGN6_momi_rep1_SM2775-4_13,SM2775-4_is_Bellotti,45.94,41.3,43.4
202109DVGN6_momi_rep1_SMB2446-2_90,SMB2446-2_is_Caiseli,43.68,38.9,42.1
202109DVGN6_momi_rep1_TAI8_72,TAI8_is_TAI,41.92,38.1,42.7
202109DVGN6_momi_rep1_USA2_67,USA2,29.46,30.6,31.4
202109DVGN6_momi_rep1_USA5_33,USA5,37.18,31.4,39.2
202109DVGN6_momi_rep1_VEN128_41,VEN128,35.96,31.2,36
202109DVGN6_momi_rep1_VEN208_77,VEN208,37.84,32.1,36.7
202109DVGN6_momi_rep1_VEN25_60,VEN25,37.53,36.8,37.7
202109DVGN6_momi_rep1_VEN312_114,VEN312,41.06,37,39
202109DVGN6_momi_rep2_ARG55_246,ARG55,35.51,32.2,34.1
