Finca,Descripcion,K_USLE,pH,C_Oxid,MO,P.BrayII,Ca,Mg,K,CIC,Fe,Mn,Cu,Zn,B,S,CE,N_Total,D_APAREN,D_REAL,POROSIDAD,Macroporos,Mesoporos,Microporos,Hum_campo,Hum_grav_Sat,Hum_vol_Sat,C.C,PMP,CHS,Infiltracion,LAA,X_.6.3.mm,X_6.4mm,X_4.2mm,X_2.1mm,X_1.0.5mm,X_0.5.0.25mm,X_0.25.0.125mm,X_.0.125mm,Est_agre_sin_arenas,Arcilla,Limo,Arena,Ind_plast,MO.75um,MO.53um,MO.53um.1
Finca5,YIM001,0.21819176,5.83,1.754,4.075,0.73,1.34,2.2,0.27,24.61,5.696,60.53,2.432,1.931,0.867,38.34,0.23,1698.3,1.156280758,2.576080906,55.11473434,18.73986184,4.196685308,32.17818719,25.09620055,49.42653267,57.15094866,36.3748725,32.17818719,1.99504646,3.170908814,4.852546469,22.30184103,22.77146952,23.12865175,17.98919634,9.134604784,2.919193033,1.126667402,0.628376144,2.35,50.04,40.16,9.8,24.9,20.13,19.6,22.18
Finca5,YIM002,0.240203096,6.54,2.489,5.781,2.94,1.96,1.11,0.33,28.07,4.434,62.37,0.678,2.613,1.098,62.66,0.52,1882.7,1.102737645,2.576201902,57.19521654,24.46551279,2.998745715,29.73095804,23.39069592,50.24205749,55.40380818,32.72970375,29.73095804,0.998249071,1.585454407,3.306829789,13.66908682,15.7316699,21.08702321,20.9223847,16.15093568,7.990592085,3.136312506,1.311995092,3.01,45.52,42.52,11.96,26.48,25.92,25.99,27.4
Finca5,YIM003,0.218946472,5.04,1.576,3.661,1.58,0.74,0.44,0.08,8.93,14.43,20.92,1.889,0.705,1.354,43.57,0.79,1506,1.099376398,2.543873461,56.78336936,32.56722183,3.370560384,20.84558716,15.92225931,46.49859944,51.11946274,24.21614754,20.84558716,16.95789491,26.95272492,3.705514533,21.11477152,24.0042508,25.90754516,16.2805526,7.527098831,2.379383634,1.273113709,1.513283741,1.63,42.1,43.95,13.95,16.04,21.97,19.86,24.68
Finca5,YIM004,0.285703756,5.39,1.689,3.923,1.04,0.54,0.85,0.25,10.43,8.929,14.92,2.274,0.843,0.668,26.96,0.1,1397.7,1.381747661,2.560217683,46.03007118,16.38055881,3.710053686,25.93945869,10.68050956,34.1940392,47.24753369,29.64951237,25.93945869,0.399878156,0.634181763,5.126358003,31.66666667,25.84557187,22.53894081,10.76323988,6.008010681,1.575433912,1.323987539,0.278148643,4.23,50.85,38.91,10.23,13.35,21.94,19.03,22.38
Finca5,YIM005,0.413809471,5.54,2.166,5.033,1.49,0.47,0.13,0.21,10.17,86.22,40.69,1.655,0.781,0.804,48.8,0.19,1159,1.340600341,2.513222632,46.6581144,15.17112812,4.485683198,27.00130308,13.80771061,35.24036173,47.24324097,31.48698628,27.00130308,0,0,6.013508427,27.23802552,27.62323084,23.96988078,12.27950917,4.69044133,1.431011643,1.05800739,1.709893328,3.98,33.03,50.65,16.32,10.39,28.09,23.42,27.81
Finca5,YIM006,0.455909104,5.84,1.149,2.668,4.85,0.7,0.07,0.28,8.75,13.44,23.48,0.895,0.519,0.791,26.15,0.22,624.5,1.726709801,2.628379472,34.30515572,8.92951473,2.009411809,23.36622918,9.11785428,18.23327907,31.48358169,25.37564099,23.36622918,0,0,3.469671066,17.32189088,18.79566593,21.12858376,16.59507144,10.21574456,5.998657589,4.786652603,5.157733244,1.37,34.66,44.88,20.46,7.94,13.93,15.02,18.43
Finca5,YIM007,0.455563606,5.54,1.339,3.111,0.99,0.11,0.12,0.11,7.73,22.13,32.12,1.178,0.552,0.646,38.08,0.15,679,1.521185642,2.618811169,41.91312226,16.3854614,2.953758528,22.57390234,10.98787128,26.57803002,40.43011765,25.52766087,22.57390234,0.198626044,0.317090881,4.493215061,24.59056706,27.84471877,23.13808423,12.41167888,4.711552648,2.008229643,1.995114674,3.300054099,3.21,29.12,48.22,22.66,8.34,15.47,14.94,21.24
Finca5,YIM008,0.483394632,4.85,1.493,3.469,2.5,0.66,0.14,0.06,12.34,17.72,17.5,0.926,0.725,0.664,36.68,0.38,1421.7,1.472774176,2.533896454,41.87709706,13.30672438,2.198354918,26.37201776,4.763370312,28.99430634,42.70206564,28.57037268,26.37201776,0.295696044,0.469294504,3.237680354,18.0968901,20.25027878,22.98723826,17.64093669,10.87845372,4.338991451,2.321893198,3.485317804,1.63,27.51,54.12,18.38,9.42,22.74,19.44,26.78
Finca5,YIM009,0.146697158,6.28,1.749,4.064,1.04,2.67,0.42,0.59,13.42,14.51,31.51,0.409,1.572,1.258,30.86,0.17,1627.6,1.058889892,2.519115015,57.96579809,25.317077,3.111795237,29.53692585,3.290748724,53.77130878,56.93789535,32.64872109,29.53692585,99.28908224,158.8625316,3.295048523,17.79403425,24.4822502,26.09958036,17.55245548,8.77963026,3.263014631,1.330384485,0.698650335,3.07,49.15,36.19,14.65,18.65,23.2,26.73,26.27
Finca5,YIM010,0.292862034,4.44,1.665,3.868,1.98,1.83,0.72,0.04,15.44,35.06,35.92,1.071,0.993,0.561,34.14,1.22,1615.8,1.103705783,2.455443271,55.05065028,33.14927543,4.081001525,17.82037333,6.2193094,46.52841632,51.35368215,21.90137485,17.82037333,18.27359605,29.17236109,4.504224983,9.608166189,15.70702006,22.247851,18.62893983,14.04154728,8.335959885,5.954154728,5.476361032,2.74,30.93,50.15,18.91,11.37,36.52,22.66,28.09
